dataset,condition,dimension,technique,is_original,fold,range,metric,value
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_1,A,1.85
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_1,B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_1,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_1,D,96.79
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_1,E,1.36
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_1,A + B,1.85
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_1,RMSE,52.61
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_1,MSE,2767.81
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_1,MAE,48.26
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_1,MAPE,0.77
DIATREND,balanced_age_jittering,age,jittering,False,5,TIR,A,66.35
DIATREND,balanced_age_jittering,age,jittering,False,5,TIR,B,33.07
DIATREND,balanced_age_jittering,age,jittering,False,5,TIR,C,0.58
DIATREND,balanced_age_jittering,age,jittering,False,5,TIR,D,0.0
DIATREND,balanced_age_jittering,age,jittering,False,5,TIR,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,5,TIR,A + B,99.42
DIATREND,balanced_age_jittering,age,jittering,False,5,TIR,RMSE,29.69
DIATREND,balanced_age_jittering,age,jittering,False,5,TIR,MSE,881.37
DIATREND,balanced_age_jittering,age,jittering,False,5,TIR,MAE,21.82
DIATREND,balanced_age_jittering,age,jittering,False,5,TIR,MAPE,0.19
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_1,A,67.87
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_1,B,29.36
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_1,C,0.29
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_1,D,2.46
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_1,E,0.01
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_1,A + B,97.23
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_1,RMSE,44.95
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_1,MSE,2020.49
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_1,MAE,35.34
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_1,MAPE,0.17
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_2,A,54.95
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_2,B,34.75
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_2,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_2,D,10.3
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_2,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_2,A + B,89.7
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_2,RMSE,80.23
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_2,MSE,6436.74
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_2,MAE,67.11
DIATREND,balanced_age_jittering,age,jittering,False,5,TAR_2,MAPE,0.21
DIATREND,balanced_age_jittering,age,jittering,False,5,ENTIRE,A,62.66
DIATREND,balanced_age_jittering,age,jittering,False,5,ENTIRE,B,31.6
DIATREND,balanced_age_jittering,age,jittering,False,5,ENTIRE,C,0.37
DIATREND,balanced_age_jittering,age,jittering,False,5,ENTIRE,D,5.33
DIATREND,balanced_age_jittering,age,jittering,False,5,ENTIRE,E,0.04
DIATREND,balanced_age_jittering,age,jittering,False,5,ENTIRE,A + B,94.26
