dataset,condition,dimension,technique,range,metric,mean_original,mean_balanced,cohens_d,effect_size
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TAR_1,RMSE,42.08,44.53,-1.9978,large
DIATREND,balanced_age_tomek_links,age,tomek_links,TAR_1,RMSE,42.08,42.01,0.0523,negligible
DIATREND,balanced_age_undersampling,age,undersampling,TAR_1,RMSE,42.08,42.906,-0.5821,medium
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TAR_1,RMSE,42.08,44.318,-2.0737,large
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TAR_1,RMSE,42.08,44.63,-2.1785,large
DIATREND,balanced_sex_jittering,sex,jittering,TAR_1,RMSE,42.08,42.748,-0.498,small
DIATREND,balanced_sex_oversampling,sex,oversampling,TAR_1,RMSE,42.08,42.646,-0.468,small
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TAR_1,RMSE,42.08,42.51,-0.36,small
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TAR_1,RMSE,42.08,42.918,-0.763,medium
DIATREND,balanced_sex_smote,sex,smote,TAR_1,RMSE,42.08,42.638,-0.4028,small
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TAR_1,RMSE,42.08,42.548,-0.4208,small
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TAR_1,RMSE,42.08,42.482,-0.3341,small
DIATREND,balanced_sex_undersampling,sex,undersampling,TAR_1,RMSE,42.08,42.732,-0.4684,small
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TAR_1,RMSE,42.08,42.396,-0.2458,small
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TAR_1,RMSE,42.08,42.786,-0.6421,medium
DIATREND,balanced_age_jittering,age,jittering,TAR_1,MAE,32.902,35.338,-2.7804,large
DIATREND,balanced_age_oversampling,age,oversampling,TAR_1,MAE,32.902,35.808,-3.2443,large
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TAR_1,MAE,32.902,34.712,-2.1386,large
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TAR_1,MAE,32.902,34.694,-2.074,large
DIATREND,balanced_age_smote,age,smote,TAR_1,MAE,32.902,35.428,-2.3856,large
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TAR_1,MAE,32.902,35.516,-2.8267,large
DIATREND,balanced_age_tomek_links,age,tomek_links,TAR_1,MAE,32.902,32.672,0.2231,small
DIATREND,balanced_age_undersampling,age,undersampling,TAR_1,MAE,32.902,34.016,-1.0407,large
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TAR_1,MAE,32.902,35.378,-2.9497,large
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TAR_1,MAE,32.902,35.542,-2.918,large
DIATREND,balanced_sex_jittering,sex,jittering,TAR_1,MAE,32.902,33.588,-0.6694,medium
DIATREND,balanced_sex_oversampling,sex,oversampling,TAR_1,MAE,32.902,33.536,-0.6969,medium
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TAR_1,MAE,32.902,33.406,-0.5589,medium
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TAR_1,MAE,32.902,33.874,-1.1375,large
DIATREND,balanced_sex_smote,sex,smote,TAR_1,MAE,32.902,33.564,-0.5916,medium
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TAR_1,MAE,32.902,33.344,-0.5329,medium
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TAR_1,MAE,32.902,33.258,-0.4082,small
DIATREND,balanced_sex_undersampling,sex,undersampling,TAR_1,MAE,32.902,33.574,-0.6353,medium
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TAR_1,MAE,32.902,33.164,-0.26,small
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TAR_1,MAE,32.902,33.632,-0.9203,large
DIATREND,balanced_age_jittering,age,jittering,TAR_2,RMSE,72.338,76.43,-1.1704,large
DIATREND,balanced_age_oversampling,age,oversampling,TAR_2,RMSE,72.338,75.056,-0.7549,medium
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TAR_2,RMSE,72.338,73.476,-0.3305,small
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TAR_2,RMSE,72.338,81.89,-2.0058,large
DIATREND,balanced_age_smote,age,smote,TAR_2,RMSE,72.338,74.302,-0.5503,medium
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TAR_2,RMSE,72.338,74.118,-0.5012,medium
DIATREND,balanced_age_tomek_links,age,tomek_links,TAR_2,RMSE,72.338,72.1,0.066,negligible
DIATREND,balanced_age_undersampling,age,undersampling,TAR_2,RMSE,72.338,80.438,-1.8198,large
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TAR_2,RMSE,72.338,74.714,-0.6722,medium
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TAR_2,RMSE,72.338,74.396,-0.5367,medium
DIATREND,balanced_sex_jittering,sex,jittering,TAR_2,RMSE,72.338,73.408,-0.3084,small
DIATREND,balanced_sex_oversampling,sex,oversampling,TAR_2,RMSE,72.338,72.268,0.0198,negligible
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TAR_2,RMSE,72.338,72.652,-0.0837,negligible
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TAR_2,RMSE,72.338,72.982,-0.1894,negligible
DIATREND,balanced_sex_smote,sex,smote,TAR_2,RMSE,72.338,72.152,0.0516,negligible
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TAR_2,RMSE,72.338,72.374,-0.0095,negligible
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TAR_2,RMSE,72.338,72.614,-0.0765,negligible
DIATREND,balanced_sex_undersampling,sex,undersampling,TAR_2,RMSE,72.338,72.514,-0.0482,negligible
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TAR_2,RMSE,72.338,72.57,-0.0619,negligible
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TAR_2,RMSE,72.338,72.712,-0.1005,negligible
DIATREND,balanced_age_jittering,age,jittering,TAR_2,MAE,60.546,64.84,-1.4545,large
DIATREND,balanced_age_oversampling,age,oversampling,TAR_2,MAE,60.546,63.364,-0.8961,large
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TAR_2,MAE,60.546,61.624,-0.3695,small
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TAR_2,MAE,60.546,71.016,-2.4437,large
DIATREND,balanced_age_smote,age,smote,TAR_2,MAE,60.546,62.524,-0.6552,medium
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TAR_2,MAE,60.546,62.246,-0.5671,medium
DIATREND,balanced_age_tomek_links,age,tomek_links,TAR_2,MAE,60.546,60.414,0.0424,negligible
DIATREND,balanced_age_undersampling,age,undersampling,TAR_2,MAE,60.546,69.234,-2.2669,large
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TAR_2,MAE,60.546,62.992,-0.8031,large
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TAR_2,MAE,60.546,62.53,-0.5925,medium
DIATREND,balanced_sex_jittering,sex,jittering,TAR_2,MAE,60.546,61.77,-0.4128,small
DIATREND,balanced_sex_oversampling,sex,oversampling,TAR_2,MAE,60.546,60.454,0.0303,negligible
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TAR_2,MAE,60.546,61.01,-0.1441,negligible
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TAR_2,MAE,60.546,61.26,-0.2441,small
DIATREND,balanced_sex_smote,sex,smote,TAR_2,MAE,60.546,60.34,0.0668,negligible
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TAR_2,MAE,60.546,60.612,-0.02,negligible
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TAR_2,MAE,60.546,60.94,-0.126,negligible
DIATREND,balanced_sex_undersampling,sex,undersampling,TAR_2,MAE,60.546,60.824,-0.0893,negligible
