dataset,condition,dimension,technique,is_original,family_size,family_mechanism,range,metric,mean,std,baseline_mean,delta_abs,delta_pct,improvement_pct
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_1,RMSE,44.71,1.16,42.08,2.6300000000000026,6.250000000000007,-6.250000000000007
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_1,MSE,1999.86,104.39,1771.85,228.01,12.86847080734825,-12.86847080734825
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_1,MAE,35.81,0.9,32.9,2.9100000000000037,8.844984802431624,-8.844984802431624
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_1,MAPE,0.17,0.0,0.15,0.020000000000000018,13.333333333333346,-13.333333333333346
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_2,A,54.17,2.45,56.98,-2.809999999999995,-4.931554931554923,-4.931554931554923
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_2,B,35.25,1.85,34.13,1.1199999999999974,3.2815704658657996,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_2,C,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_2,D,10.58,1.39,8.89,1.6899999999999995,19.010123734533177,-19.010123734533177
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_2,E,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_2,A + B,89.42,1.39,91.11,-1.6899999999999977,-1.8549006695203576,-1.8549006695203576
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_2,RMSE,75.06,3.05,72.34,2.719999999999999,3.760022117777161,-3.760022117777161
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_2,MSE,5640.86,463.66,5246.21,394.64999999999964,7.522573438730047,-7.522573438730047
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_2,MAE,63.36,2.57,60.55,2.8100000000000023,4.640792733278286,-4.640792733278286
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_2,MAPE,0.21,0.01,0.2,0.009999999999999981,4.99999999999999,-4.99999999999999
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,ENTIRE,A,64.02,2.1,64.65,-0.6300000000000097,-0.9744779582366738,-0.9744779582366738
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,ENTIRE,B,31.21,1.29,30.95,0.26000000000000156,0.840064620355417,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,ENTIRE,C,0.31,0.11,0.36,-0.04999999999999999,-13.888888888888888,13.888888888888888
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,ENTIRE,D,4.41,0.81,3.98,0.43000000000000016,10.804020100502516,-10.804020100502516
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,ENTIRE,E,0.04,0.02,0.05,-0.010000000000000002,-20.000000000000004,20.000000000000004
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,ENTIRE,A + B,95.23,0.85,95.6,-0.36999999999999034,-0.3870292887029188,-0.3870292887029188
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,ENTIRE,RMSE,46.03,2.17,45.05,0.980000000000004,2.1753607103218737,-2.1753607103218737
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,ENTIRE,MSE,2122.61,201.2,2033.93,88.68000000000006,4.360032056167127,-4.360032056167127
